S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3060631.0,AMARESWARA SATAPATHY,INR,"4,297,235","Executive Engineer, R.W. Division No.-I, Ganjam, Berhampur",Internal,"Divisional Accountant, J.E. (Estr) of R.W. Division No.-I, Ganjam, Berhampur",Sarita Kumari Charchi,26-Dec-2025 06:41 PM,finsummary_550592.pdf (840.72 KB),CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,2025_CERWI_117364_5,OnlineTender/03/SERWDG-I/25-26,Construction of subcenter building sc building Cum HWC at B Kharida under State plan,Technical,Bid opening Summary,Sarita Kumari Charchi,18-Sep-2025 12:39 PM,technical_550592.pdf,Finance,Bid opening Summary,Sarita Kumari Charchi,26-Dec-2025 06:36 PM,finance_550592.pdf,BOQ Comparative Chart,"Executive Engineer, R.W. Division No.-I, Ganjam, Berhampur",Internal,"Divisional Accountant, J.E. (Estr) of R.W. Division No.-I, Ganjam, Berhampur",Sarita Kumari Charchi,18-Sep-2025 12:43 PM,22-Sep-2025 04:00 PM,techsummary_550592.pdf (638.58 KB),26-Dec-2025,"INR 4,297,235",270.0,Sarita Kumari Charchi,26-Dec-2025 06:46 PM,AOC1.pdf (357.00 KB),23P1 / 2025-26,1,3060631,AMARESWARA SATAPATHY,02-Sep-2025 12:19 PM,Accepted-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,OnlineTender/03/SERWDG-I/25-26,2025_CERWI_117364_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"50,600",Yes,fixed,,Nil,Nil,"E.E., R.W. Division No.-I, Ganjam, BAM","O/o the S.E., R.W. Division-I, In-front of De-paul school, Engineering School Road, Berhampur, Ganjam, 760010","10,000",0.0,Nil,Nil,No,27-Aug-2025 11:00 AM,03-Sep-2025 11:00 AM,27-Aug-2025 11:00 AM,02-Sep-2025 06:00 PM,27-Aug-2025 11:00 AM ,01-Sep-2025 03:00 PM ,27-Aug-2025 11:00 AM,02-Sep-2025 06:00 PM,22-Sep-2025 04:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, E.M.D., PAN, GSTIN, Affidavit, Contractor R.C. and all other documents as per DTCN",Construction of subcenter building sc building Cum HWC at B Kharida under State plan,Construction of subcenter building sc building Cum HWC at B Kharida under State plan,Please refer Tender documents. ,NA ,"50,55,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,Berhampur,760010.0,NA ,NA ,NA ,"O/o the S.E., R.W. Division-I, Ganjam, Berhampur",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3059626,Ashok Kumar Behera,01-Sep-2025 06:34 PM,Rejected-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3060004,Chinmaya Kumar Rana,01-Sep-2025 07:31 PM,Rejected-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3054658,Debasis Mahapatro,29-Aug-2025 02:52 PM,Rejected-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3056730,DEEPAK KUMAR SETHI,30-Aug-2025 05:58 PM,Rejected-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3060567,LAXMI KUMARI BEHERA,02-Sep-2025 10:22 AM,Rejected-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3059954,PABITRA PATTANAYAK,01-Sep-2025 06:52 PM,Rejected-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3057880,Rajendra Kumar Nayak,31-Aug-2025 06:00 PM,Rejected-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3058759,Shyam Sundar Sahu,01-Sep-2025 12:49 PM,Rejected-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3061151,Siba Kumar Pradhan,02-Sep-2025 04:16 PM,Rejected-AOC,After drawl of transparent lottery,26-Dec-2025 06:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
