Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
20-Oct-2025 11:00 AM,30-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,29-Oct-2025 05:00 PM,20-Oct-2025 11:00 AM ,27-Oct-2025 05:00 PM ,20-Oct-2025 11:00 AM,29-Oct-2025 05:00 PM,EXECUTIVE ENGINEER L.I. DIVISION BOUDH,OFFICE OF EXECUTIVE ENGINEER L.I. DIVISION BOUDH,"33,268",Yes,fixed,,Nil,Nil,Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Boudh,OLIC-BOUDH-16/2025-26/4256 DT-26.09.2025,2025_OLIC_119626_61,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN","7,080",0.0,Nil,Nil,No,INSTALLATION AND ENERGISATION OF GUNJARMAL-III LIFT IRRIGATION PROJECT UNDER KANTAMAL BLOCK IN BOUDH DISTRICT UNDER BKVY-RIDF,INSTALLATION AND ENERGISATION OF GUNJARMAL-III LIFT IRRIGATION PROJECT UNDER KANTAMAL BLOCK IN BOUDH DISTRICT UNDER BKVY-RIDF,Please Tender Document DTCN ,NA ,"33,26,813",Civil Works - Lift Irrigation Schemes,River Lift ,Tender,365.0,120.0,BOUDH,762014.0,NA ,NA ,NA ,OFFICE OF EXECUTIVE ENGINEER L.I. DIVISION BOUDH,No ,No,AOC,29-Dec-2025,"INR 3,337,186",120.0,Satya Narayan Rana,29-Dec-2025 06:46 PM,Package61.pdf (1166.00 KB),Awarded,1,3153383,ACHYUTANAND RAUT,29-Oct-2025 11:24 AM,Rejected-AOC,Reject,29-Dec-2025 06:46 PM,"Executive Engineer,L.I.Division, Boudh",Internal,"Estimator, L.I. Division, Boudh, Assistant Accountant, L.I. Division, Boudh",Satya Narayan Rana,28-Dec-2025 01:28 PM,techsummary_556972.pdf (337.51 KB),"Executive Engineer,L.I.Division, Boudh",Internal,"Estimator, L.I. Division, Boudh, Assistant Accountant, L.I. Division, Boudh",Satya Narayan Rana,29-Dec-2025 06:43 PM,finsummary_556972.pdf (412.71 KB),Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Boudh,2025_OLIC_119626_61,OLIC-BOUDH-16/2025-26/4256 DT-26.09.2025,INSTALLATION AND ENERGISATION OF GUNJARMAL-III LIFT IRRIGATION PROJECT UNDER KANTAMAL BLOCK IN BOUDH DISTRICT UNDER BKVY-RIDF,1.0,3165146.0,SAMBHU PRASAD AGRAWALLA,INR,"2,828,123.73",Finance,Ten nos of bidders have participated,Satya Narayan Rana,20-Nov-2025 09:42 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3161408,MOHAMMED SALMAN,29-Oct-2025 08:13 AM,Rejected-AOC,Reject,29-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3159473,MS Shree Shyam and Co,28-Oct-2025 01:01 AM,Rejected-AOC,Reject,29-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3165406,PRAMOD SAHOO,29-Oct-2025 11:24 AM,Rejected-AOC,Reject,29-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3149686,RADHAKANTA MAHALIK,29-Oct-2025 09:23 AM,Rejected-AOC,Reject,29-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3165439,RENUKA HOTA,29-Oct-2025 11:39 AM,Rejected-AOC,Reject,29-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3156327,ROHIT KUMAR TRIVEDI,26-Oct-2025 09:44 PM,Rejected-AOC,Reject,29-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3165146,SAMBHU PRASAD AGRAWALLA,29-Oct-2025 02:46 AM,Accepted-AOC,Accept,29-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3154463,SARAT CHANDRA MAHAPATRA,29-Oct-2025 08:54 AM,Rejected-AOC,Reject,29-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3165945,TAPAS KUMAR KHATUA,29-Oct-2025 01:43 PM,Rejected-AOC,Reject,29-Dec-2025 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
