Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Installation and Energisation of Kandel - I, II and III L.I.Project under Korkunda Block of Malkangiri District","Installation and Energisation of Kandel - I, II and III L.I.Project under Korkunda Block of Malkangiri District",Please refer Tender documents. ,NA ,"81,13,200",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,Koraput,No ,No,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,03/2025-26,2025_OLIC_119009_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi","81,132",No,percentage,1.0%,Nil,Nil,E E L I Division Koraput,E E L I Division Koraput,"11,800",0.0,Nil,Nil,No,13-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,1.0,ICICI BANK,AOC,31-Dec-2025,"INR 6,897,031",90.0,JUGAL TAKRI,31-Dec-2025 05:28 PM,AOCsummary.pdf (40.00 KB),Awaded,1,3139767,BADAL PATTNAIK,22-Oct-2025 08:30 PM,Rejected-AOC,Awaded,31-Dec-2025 05:28 PM,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 12:53 PM,techsummary_554875.pdf (204.08 KB),Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2025_OLIC_119009_23,03/2025-26,"Installation and Energisation of Kandel - I, II and III L.I.Project under Korkunda Block of Malkangiri District",Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 06:09 PM,finsummary_554875.pdf (204.08 KB),Finance,bidders are participated successfully.,JUGAL TAKRI,06-Dec-2025 12:41 PM,finance_554875.pdf,BOQ Comparative Chart,1.0,3132655.0,M/S ENGINEERS ENTERPRISES,INR,"8,138,497",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,3135291,CHANDAN NAYAK,20-Oct-2025 12:51 PM,Rejected-AOC,Awaded,31-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3143972,DAITARI SIA,22-Oct-2025 10:56 PM,Rejected-AOC,Awaded,31-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3145956,HEMANT KUMAR NAYAK,23-Oct-2025 04:11 PM,Rejected-AOC,Awaded,31-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3144819,MAADURGA ENGINEERING AND ASSOCIATES PRIVATE LIMITED,23-Oct-2025 02:31 PM,Rejected-AOC,Awaded,31-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3132655,M/S ENGINEERS ENTERPRISES,17-Oct-2025 03:59 PM,Accepted-AOC,Awaded,31-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3136865,M/S MAHAMAYEE ENTERPRISES,21-Oct-2025 11:16 AM,Rejected-AOC,Awaded,31-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3136557,M/S. PADHI ELECTRICALS,21-Oct-2025 12:52 PM,Rejected-AOC,Awaded,31-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3133009,M/S SHANTI POWER AND CONSTRUCTION,18-Oct-2025 05:24 PM,Rejected-AOC,Awaded,31-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3144757,M/S U.S. QUALITY ENGINEERING WORKS,23-Oct-2025 10:53 AM,Rejected-AOC,Awaded,31-Dec-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
