Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"4,000",0.0,Nil,Nil,No,"6,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card",1.0,ICICI BANK,"EE RW (PH) DIVISION,BBSR","SE RW (PH) DIVISION,BBSR BEHIND ESPLANDE MALL,RASULGARH,751010",24-Jun-2025 11:00 AM,04-Jul-2025 11:00 AM,24-Jun-2025 11:00 AM,03-Jul-2025 05:00 PM,NA ,NA ,24-Jun-2025 11:00 AM,03-Jul-2025 05:00 PM,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-15/2025-26,2025_CERWI_114506_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,PH Works to Construction of New Proposed Sub Centre Building at Talpatia in Jharsuguda Block in Jharsuguda District for the F.Y. 2023-24,PH Works to Construction of New Proposed Sub Centre Building at Talpatia in Jharsuguda Block in Jharsuguda District for the F.Y. 2023-24,Please refer Tender documents. ,NA ,"6,12,145",Civil Works - Buildings,NA ,Tender,90.0,NA ,Talpatia,768204.0,NA ,NA ,NA ,"O/O EE RW (PH) DIVISION ,BBSR",No ,No,AOC,Executive Engineer,Internal,,Anil Kumar Das,18-Jul-2025 12:59 PM,techsummary_543807.pdf (339.80 KB),Executive Engineer,Internal,,Anil Kumar Das,01-Aug-2025 12:52 PM,finsummary_543807.pdf (132.13 KB),Finance,COMPARATIVE STATEMENT,Anil Kumar Das,07-Jul-2025 12:19 PM,finance_543807.pdf,BOQ Comparative Chart,01-Aug-2025,"INR 520,384",90.0,Anil Kumar Das,05-Aug-2025 12:54 PM,4721.pdf (312.00 KB),CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_114506_22,EERWPH-15/2025-26,PH Works to Construction of New Proposed Sub Centre Building at Talpatia in Jharsuguda Block in Jharsuguda District for the F.Y. 2023-24,1.0,2986706.0,Premananda Besan,INR,"520,384",1,2987406,Bikash Kumar Tanty,03-Jul-2025 04:37 PM,Rejected-Finance,Not Qualified in Transparency lottery,01-Aug-2025 12:52 PM,AOC
,,,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2982240,PRADEEP KUMAR SAHOO,30-Jun-2025 04:08 PM,Rejected-Finance,Not Qualified in Transparency lottery,01-Aug-2025 12:52 PM,AOC
,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2982419,PRATIK CONSTRUCTION,28-Jun-2025 09:36 PM,Rejected-Finance,Not Qualified in Transparency lottery,01-Aug-2025 12:52 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2986706,Premananda Besan,02-Jul-2025 03:38 PM,Accepted-AOC,Qualified in Transparency lottery,05-Aug-2025 12:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2986235,SANTOSH KUMAR PADHI,02-Jul-2025 11:59 AM,Rejected-Finance,Not Qualified in Transparency lottery,01-Aug-2025 12:52 PM,AOC
