Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
09-Apr-2025 09:55 AM,24-Apr-2025 11:30 AM,09-Apr-2025 10:00 AM,23-Apr-2025 05:00 PM,NA ,NA ,09-Apr-2025 10:00 AM,23-Apr-2025 05:00 PM,"Construction of Cover shed, Open Pindi and Barbed fencing at Kermelabahal PPC of Paikmal Block, RMC Padampur",Building type works,Please refer Tender documents. ,NA ,"37,92,667",Civil Works - Buildings,NA ,Rate Contract,90.0,120.0,Kermelabahal PPC of Paikmal Block,768039.0,NA ,NA ,NA ,"Office of RMC, Padampur",No ,No,"Sub-Collector,Padampur-cum-Chairman,RMC, Padampur","At-Padampur, P.O. Rajborasambar, Dist. Bargarh 768036","37,930",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",Nil,Nil,No,Odisha State Agricultural Marketing Board||RMC Padampur,RMC PADAMPUR 01/2025-26 AND TCN NO.99 DTD 07.04.25,2025_OSAMB_112334_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender documents as per DTCN,AOC,"Sub-Collector,Padampur-cum-Chairperson,RMC, Padampur",Internal,"Asst.Engineer,OSAM Board,Bhubaneswar,Junior Engineer,OSAM Board,Bhubaneswar,Secretary,RMC,Padampur and Accountant,RMC,Padampur",SNEHA ARUGULA,13-May-2025 09:35 PM,finsummary_535742.pdf (5739.32 KB),Odisha State Agricultural Marketing Board||RMC Padampur,2025_OSAMB_112334_5,RMC PADAMPUR 01/2025-26 AND TCN NO.99 DTD 07.04.25,"Construction of Cover shed, Open Pindi and Barbed fencing at Kermelabahal PPC of Paikmal Block, RMC Padampur",1.0,2892293.0,KL INFRAPROJECTS,INR,"3,224,146",Finance,Tender was opened. The bids and other documents submitted by the bidders through online mode were downloaded from the tenderodisha portal. The bids will be evaluated by the TEC members of RMC Padampur as per the term and conditions of the DTCN.,RABI NARAYAN PANDA,01-May-2025 08:22 PM,finance_535742.pdf,BOQ Comparative Chart,30-Jul-2025,"INR 3,792,667",120.0,SNEHA ARUGULA,14-Aug-2025 11:23 AM,WorkOrderKermelabahalPPC.pdf (218.00 KB),Work Order,1,2892601,AMAN ULLA KHAN,23-Apr-2025 03:50 PM,Rejected-AOC,Not selected in lottery,14-Aug-2025 11:23 AM,"Sub-Collector,Padampur-cum-Chairperson,RMC, Padampur",Internal,"Asst.Engineer,OSAM Board,Bhubaneswar,Junior Engineer,OSAM Board, Bhubaneswar,Secretary,RMC, Padampur and Accountant,RMC,Padampur",SNEHA ARUGULA,13-May-2025 08:36 PM,techsummary_535742.pdf (5739.32 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2892713,BLL CONSTRUCTION,23-Apr-2025 04:00 PM,Rejected-Technical,Not Eligible.,13-May-2025 08:36 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2891311,Bolli Shyam Babu,23-Apr-2025 12:03 PM,Rejected-AOC,Not selected in lottery,14-Aug-2025 11:23 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2892277,CHAITANYA MAJHI,23-Apr-2025 12:42 PM,Rejected-AOC,Not selected in lottery,14-Aug-2025 11:23 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2884068,DEEPAK RANJAN DASH,14-Apr-2025 08:41 PM,Rejected-AOC,Not selected in lottery,14-Aug-2025 11:23 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2891975,KAMAL LOCHAN NAIK,23-Apr-2025 10:51 AM,Rejected-AOC,Not selected in lottery,14-Aug-2025 11:23 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2892293,KL INFRAPROJECTS,23-Apr-2025 11:30 AM,Accepted-AOC,selected in lottery.,14-Aug-2025 11:23 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2892569,LAKSHAPATI MAHANANDA,23-Apr-2025 02:35 PM,Rejected-AOC,Not selected in lottery,14-Aug-2025 11:23 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2892358,MANAS RANJAN MISHRA,23-Apr-2025 02:32 PM,Rejected-AOC,Not selected in lottery,14-Aug-2025 11:23 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2892209,NARESH AGRAWAL,23-Apr-2025 10:10 AM,Rejected-AOC,Not selected in lottery,14-Aug-2025 11:23 AM,,,,,,,AOC
