Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN,AFFIDAVIT, ONLINE CHALLAN OF TENDER COST, EMD AND OTHER DOCUMENT AS PER DTCN","17,000",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,BLOCK DEVELOPMENT OFFICER SUKINDA,"PANCHAYAT SAMITI, SUKINDA DIST- JAJPUR PS-SUKINDA PIN-755018",25-Apr-2023 05:00 PM,08-May-2023 11:30 AM,25-Apr-2023 05:00 PM,06-May-2023 05:00 PM,25-Apr-2023 05:00 PM ,04-May-2023 05:00 PM ,25-Apr-2023 05:00 PM,06-May-2023 05:00 PM,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||SUKINDA Block,TENDER ONLINE 01 SUKINDA OF 2023-24,2023_PRSKI_88381_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Kaliapani Birsanagar Pokhari,Works,Please refer Tender documents. ,NA ,"16,94,916",Civil Works - Water Works,NA ,Tender,90.0,240.0,PANCHAYAT SAMITI SUKINDA,755018.0,NA ,NA ,NA ,PANCHAYAT SAMITI SUKINDA,No ,No,1.0,ICICI BANK,AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jajpur||SUKINDA Block,2023_PRSKI_88381_5,TENDER ONLINE 01 SUKINDA OF 2023-24,Kaliapani Birsanagar Pokhari,1.0,2131397.0,JYOTI BALA,INR,"1,440,849",BDO SUKINDA,Internal,,NIRAKAR MOHAKUD,27-Jun-2023 01:32 PM,techsummary_435746.pdf (1093.87 KB),30-Jun-2023,"INR 1,440,849",240.0,NAMRATA MODI,30-Jun-2023 02:26 PM,KaliapaniBirsanagarPokhari.pdf (139.00 KB),BDO SUKINDA,Internal,,NIRAKAR MOHAKUD,30-Jun-2023 11:20 AM,finsummary_435746.pdf (1093.87 KB),Finance,All bids are admitted,NAMRATA MODI,27-Jun-2023 11:33 AM,finance_435746.pdf,BOQ Comparative Chart,1,2130965,ANSUMAN MALLICK,06-May-2023 09:30 AM,Rejected-AOC,Disqualified through lottery,30-Jun-2023 02:27 PM,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2130603,DARASINGH MUNDA,05-May-2023 07:53 PM,Rejected-AOC,Disqualified through lottery,30-Jun-2023 02:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2129488,DIPTIMAYI SAHOO,03-May-2023 08:25 PM,Rejected-AOC,Disqualified through lottery,30-Jun-2023 02:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2131397,JYOTI BALA,06-May-2023 11:01 AM,Accepted-AOC,Tender awarded through lottery,30-Jun-2023 02:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2131251,MANORANJAN PATRA,05-May-2023 10:32 PM,Rejected-AOC,Disqualified through lottery,30-Jun-2023 02:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2130868,M/S. JAGANNATH ENTERPRISES,05-May-2023 03:40 PM,Rejected-Technical,Rejected due to invalid license,27-Jun-2023 01:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2130670,MS PRADHAN UDYOG PROP- SURENDRA KUMAR PRADHAN,05-May-2023 01:14 PM,Rejected-AOC,Disqualified through lottery,30-Jun-2023 02:27 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2130246,SASMITA MOHANTA,04-May-2023 07:53 PM,Rejected-AOC,Disqualified through lottery,30-Jun-2023 02:27 PM,AOC
