Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Sri Arun Kumar Jyotrimaya,Internal,"Ashwani Mishra,DAO, Hemanta Kumar Marandi,AEE EstimatorI/C,Samir Kumar Behera,JE Estimator",HEMANTA MARANDI,16-Dec-2025 12:41 PM,techsummary_566547.pdf (307.39 KB),1,3288152,AJIT KUMAR SAHU,08-Dec-2025 11:59 AM,Rejected-AOC,Rejected,30-Jan-2026 08:45 PM,03-Jan-2026,"INR 422,587",60.0,ARUN KUMAR JYOTRIMAYA,30-Jan-2026 08:45 PM,Wo62.pdf (904.00 KB),"The Work is awarded to Smt. Sasmita Bhoi ""C"" Class Contractor vide Agtt.No.62P1/2025-26.The D.O.C and Completion as dt.03/01/2026 and 02/03/2026 for contract amount Rs.422587.00 With GST18%",1.0,3290503.0,SASMITA BHOI,INR,"422,587",Finance,"Sri Arun Kumar Jyotrimaya, Superintending Engineer as Chairperson, Ashwani Mishra,DAO, Hemanta Kumar Marandi,AEE EstimatorI/C,Samir Kumar Behera,JE Estimator",HEMANTA MARANDI,16-Dec-2025 12:32 PM,finance_566547.pdf,BOQ Comparative Chart,Sri Arun Kumar Jyotrimaya,Internal,"Sri Arun Kumar Jyotrimaya,Superintending Engineer as Chairperson,Ashwani Mishra,DAO,Hemanta Kumar Marandi,AEE EstimatorI/C,Samir Kumar Behera,JE Estimator",HEMANTA MARANDI,03-Jan-2026 10:38 AM,finsummary_566547.pdf (273.89 KB),"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",2025_CEMIB_121823_1,SEMIDPDP_04_2025_26,Improvement to Magardhuda check dam near village Baigeijuri in Padampur block of Bargarh District under improvement to Check Dams scheme for the year 2025-2026,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor RC, Original Affidavits, GSTIN, NRC, EMD, PAN, and if any other documents as per DTCN",1.0,ICICI BANK,"5,000",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Padampur",SEMIDPDP_04_2025_26,2025_CEMIB_121823_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,"S.E. M.I. Division, Padampur","O/o The Superintending Engineer MI Division, Padampur, Dist-Bargarh, Pin-768036",25-Nov-2025 11:00 AM,10-Dec-2025 11:00 AM,25-Nov-2025 11:00 AM,09-Dec-2025 05:00 PM,NA ,NA ,25-Nov-2025 11:00 AM,09-Dec-2025 05:00 PM,Improvement to Magardhuda check dam near village Baigeijuri in Padampur block of Bargarh District under improvement to Check Dams scheme for the year 2025-2026,Improvement to Magardhuda check dam near village Baigeijuri in Padampur block of Bargarh District under improvement to Check Dams scheme for the year 2025-2026,As per DTCN ,NA ,"4,97,103",Civil Works - Others,NA ,Tender,90.0,60.0,Padampur Block,768036.0,NA ,NA ,NA ,"O/o The S.E. MI Division, Padampur",No ,No,AOC
,,,,,,2,3272607,BALLABHI SAHU,02-Dec-2025 07:31 PM,Rejected-AOC,Rejected,30-Jan-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3290835,M/S SAI BALAJI CONSTRUCTION,09-Dec-2025 08:03 AM,Rejected-AOC,Rejected,30-Jan-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3290216,Narayan Dash,08-Dec-2025 06:18 PM,Rejected-AOC,Rejected,30-Jan-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3287976,NARAYAN SUBUDHI,08-Dec-2025 11:17 AM,Rejected-AOC,Rejected,30-Jan-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3285580,SANTOSHINI SAHU,07-Dec-2025 12:06 PM,Rejected-AOC,Rejected,30-Jan-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3290503,SASMITA BHOI,08-Dec-2025 08:41 PM,Accepted-AOC,Accepted,30-Jan-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3285560,SEBATEE SAHU,07-Dec-2025 12:20 PM,Rejected-AOC,Rejected,30-Jan-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3270745,SUBHASHRI MISHRA,06-Dec-2025 08:43 AM,Rejected-AOC,Rejected,30-Jan-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3272652,TIKESWAR SAHU,02-Dec-2025 07:23 PM,Rejected-AOC,Rejected,30-Jan-2026 08:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
