Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Installation and energisation of GANAPALI-I L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26),Installation and energisation of GANAPALI-I L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26),Please refer Tender documents. ,NA ,"34,32,441",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,120.0,Subarnapur,767017.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Subarnapur",No ,No,"34,324",Yes,percentage,1.0%,Nil,Nil,"7,080",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,OLIC-SNP-03/2025-26,2025_OLIC_121569_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Nov-2025 11:00 AM,28-Nov-2025 11:00 AM,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,20-Nov-2025 11:00 AM ,26-Nov-2025 05:00 PM ,20-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, Tender Paper Cost, EMD, Affidavits and Joint Venture etc. as per DTCN","E.E., L.I. Division, Subarnapur","O/O. the E.E., L.I. Division, Subarnapur",AOC,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Subarnapur,2025_OLIC_121569_13,OLIC-SNP-03/2025-26,Installation and energisation of GANAPALI-I L.I. Project under DUNGURIPALI Block in SUBARNAPUR District (RIDF-2025-26),EE,Internal,EE and others,CHANDRAMA PING,17-Jan-2026 10:55 PM,finsummary_565535.pdf (3495.02 KB),Finance,12 Nos. Bidders participated,CHANDRAMA PING,25-Dec-2025 10:34 PM,finance_565535.pdf,BOQ Comparative Chart,1.0,3259379.0,MS Shree Shyam and Co,INR,"2,917,918",1,3260036,ABHILASH PRADHAN,27-Nov-2025 01:44 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,17-Jan-2026,"INR 3,432,441.19",120.0,CHANDRAMA PING,17-Jan-2026 10:59 PM,AOC.pdf (3495.00 KB),Success on Lottery System,EE,Internal,EE and others,CHANDRAMA PING,17-Jan-2026 10:50 PM,techsummary_565535.pdf (3495.02 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3245099,BINOD SAHU,27-Nov-2025 10:08 AM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3260655,DHARMENDRA SAHU,27-Nov-2025 04:35 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3260107,Dinesh kumar karna,27-Nov-2025 02:00 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3253589,Dukhanasana Sethi,26-Nov-2025 06:33 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3255518,MOHAMMAD ANISH,26-Nov-2025 10:06 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3259379,MS Shree Shyam and Co,27-Nov-2025 01:30 PM,Accepted-AOC,Success on Lottery System,17-Jan-2026 10:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3255611,NILESH KUMAR JAIN,27-Nov-2025 11:58 AM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Non deposit of EMD in joint venture with other contractor.,25-Dec-2025 10:34 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3260030,PRAVASINI SUNA,27-Nov-2025 01:41 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3254017,RADHAKANTA MAHALIK,27-Nov-2025 09:13 AM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3257743,ROHIT KUMAR TRIVEDI,26-Nov-2025 10:57 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,3257603,SUDHIRA KARA,27-Nov-2025 12:27 PM,Rejected-Finance,Unsuccess on Lottery System,17-Jan-2026 10:55 PM,,,,,,,,,,,,,,AOC
