Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,It will be finalized by the Tender Committee,LAXMAN KUMAR MURMU,09-May-2025 10:53 AM,,BOQ Comparative Chart,20-Jun-2025,"INR 338,965",60.0,LAXMAN KUMAR MURMU,20-Jun-2025 11:09 AM,11.pdf (583.00 KB),1,2902153,M/S SIMANCHAL LIMA,30-Apr-2025 03:10 PM,Rejected-AOC,L2,20-Jun-2025 11:10 AM,Municipal Bodies||Parlakhemundi Municipal Council,2025_ORULB_112408_11,01/PKDM-2025-26,Repair and Renovation of road at both Matia Street and Rekhana Street,1.0,2902275.0,SASMITA KUMARI DAS,INR,"338,965","Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,20-Jun-2026 04:22 PM,techsummary_536063.pdf (6352.40 KB),"Nirmala Sethy, Chairperson, Paralakhemundi Municipality",Internal,"Executive Officer, Municipal Engineer, Accountant, APD(F) Zilla Parishad, Gajapati",LAXMAN KUMAR MURMU,20-Jun-2025 11:08 AM,finsummary_536063.pdf (6352.40 KB),AOC,1,ICICI BANK,"2,000",0.0,Nil,Nil,No,Repair and Renovation of road at both Matia Street and Rekhana Street,Road work,Please refer Tender documents. ,NA ,"3,38,965",Civil Works - Others,NA ,Tender,90.0,60.0,Paralakhemundi Municipality,761200.0,NA ,NA ,NA ,Paralakhemundi Municipality,No ,No,19-Apr-2025 10:00 AM,01-May-2025 11:00 AM,19-Apr-2025 10:00 AM,30-Apr-2025 05:00 PM,NA ,NA ,19-Apr-2025 10:00 AM,30-Apr-2025 05:00 PM,"3,389",Yes,fixed,,Nil,Nil,"Executive Officer, Paralakhemundi Municipality","Executive Officer, Paralakhemundi Municipality",Municipal Bodies||Parlakhemundi Municipal Council,01/PKDM-2025-26,2025_ORULB_112408_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor License, Valid GST Certificate, Pan Card, Cost of Tender Paper, EMD, Affidavit",AOC
,,,,,,,,,,,,2,2902275,SASMITA KUMARI DAS,30-Apr-2025 03:49 PM,Accepted-AOC,L1,20-Jun-2025 11:10 AM,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
