Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,26-Jun-2025 05:45 PM,techsummary_533836.pdf (1888.77 KB),1.0,2869133.0,M/S SAMBEET SUPPLIERS,INR,"3,228,414",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_111808_2,BID NO 22 OF 2024 - 25,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Salepali_Baghala, Bagbhadi, Manhira_Bhainsa under Balangir Block in Balangir District",1,2869700,ASHOK CHANDRA PATRA,26-Mar-2025 06:51 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,26-Jun-2025 05:54 PM,Finance,bid has been opened,Khagendra Barik,03-Apr-2025 08:46 PM,finance_533836.pdf,BOQ Comparative Chart,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,26-Jun-2025 05:49 PM,finsummary_533836.pdf (1888.77 KB),26-Jun-2025,"INR 3,797,687",45.0,Khagendra Barik,26-Jun-2025 05:54 PM,SALEPALI_BAGHALA.pdf (1889.00 KB),L1 BIDDER HAS RESPOND,AOC,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 22 OF 2024 - 25,2025_RWSS_111808_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,Superintending Engineer RWSS Division Balangir,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, GST,PAN, Contractor Registration Certificate, Etc","37,977",Yes,percentage,1.0%,Nil,Nil,21-Mar-2025 11:00 AM,29-Mar-2025 11:00 AM,21-Mar-2025 11:00 AM,28-Mar-2025 05:00 PM,NA ,NA ,21-Mar-2025 11:00 AM,28-Mar-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,"Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Salepali_Baghala, Bagbhadi, Manhira_Bhainsa under Balangir Block in Balangir District","Supply all materials labour T and P erection testing and commissioning of external power supply of RPWS to village Salepali_Baghala, Bagbhadi, Manhira_Bhainsa under Balangir Block in Balangir District",please refer DTCN ,NA ,"37,97,687",Electrical Works,Electrical Works ,Tender,90.0,45.0,Salepai Baghala under Balangir Block,767001.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2871971,ELECTRICAL CONSTRUCTION AND MAINTENANCE SERVICE,28-Mar-2025 01:56 PM,Rejected-Finance,TRANSPERENT OF LOTTERY,26-Jun-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Other document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2871817,MAA SAMLESWARI ENGINEERING,28-Mar-2025 03:05 PM,Rejected-Finance,TRANSPERENT OF LOTTERY,26-Jun-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2869859,M/S K.P. ELECTRICAL AND ENGINEERS,26-Mar-2025 08:18 PM,Rejected-Finance,TRANSPERENT OF LOTTERY,26-Jun-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2872243,M/S RAJENDRA SAHU,28-Mar-2025 04:37 PM,Rejected-Finance,TRANSPERENT OF LOTTERY,26-Jun-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2871060,"M/s Ramchandi Construction, Nayagargh",27-Mar-2025 05:14 PM,Rejected-Finance,TRANSPERENT OF LOTTERY,26-Jun-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2869133,M/S SAMBEET SUPPLIERS,26-Mar-2025 05:08 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,26-Jun-2025 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2872032,M/S SAROJINEE POWER AND CONSTRUCTION,28-Mar-2025 02:01 PM,Rejected-Finance,TRANSPERENT OF LOTTERY,26-Jun-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2870938,PABITRA ELECTRICAL WORKSHOP,28-Mar-2025 04:30 PM,Rejected-Finance,TRANSPERENT OF LOTTERY,26-Jun-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2871115,PNP CONSTRUCTION,27-Mar-2025 05:52 PM,Rejected-Finance,TRANSPERENT OF LOTTERY,26-Jun-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
