Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
21-Nov-2025 09:00 AM,05-Dec-2025 11:00 AM,21-Nov-2025 11:00 AM,03-Dec-2025 05:00 PM,NA ,NA ,21-Nov-2025 11:00 AM,03-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.xls,boq,"8,475",Yes,fixed,,Nil,Nil,EXECUTIVE OFFICER NAC DASPALLA,NAC OFFICE DASPALLA,Municipal Bodies||Daspalla NAC,NAC-Daspalla/02/2025-26,2025_ORULB_121286_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,Construction of Road and Retaining wall near Bereni Pokhari in Ward no. 11 of NAC Daspalla,Construction of Road and Retaining wall near Bereni Pokhari in Ward no. 11 of NAC Daspalla,Please refer Tender documents. ,NA ,"8,47,457",Civil Works - Roads,NA ,Tender,180.0,90.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,1.0,ICICI BANK,AOC,"Chairperson,Daspalla NAC",Internal,,AVINASH MOHANTY,02-Feb-2026 11:40 AM,techsummary_564803.pdf (1543.40 KB),"Chairperson,Daspalla NAC",Internal,,AVINASH MOHANTY,02-Feb-2026 12:16 PM,finsummary_564803.pdf (1543.40 KB),Finance,ok,AVINASH MOHANTY,01-Feb-2026 12:16 PM,,BOQ Comparative Chart,1.0,3273765.0,CHITTA RANJAN MOHANTY,INR,"720,423",Municipal Bodies||Daspalla NAC,2025_ORULB_121286_31,NAC-Daspalla/02/2025-26,Construction of Road and Retaining wall near Bereni Pokhari in Ward no. 11 of NAC Daspalla,1,3269622,AJIT KUMAR JENA,01-Dec-2025 08:49 PM,Rejected-AOC,lotery,05-Mar-2026 03:30 PM,24-Feb-2026,"INR 720,423",90.0,AVINASH MOHANTY,05-Mar-2026 03:30 PM,work31.pdf (1239.00 KB),AOC
,,,,,,,,,,.pdf,All tender Documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3273765,CHITTA RANJAN MOHANTY,03-Dec-2025 03:33 PM,Accepted-AOC,lotery,05-Mar-2026 03:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3273499,DEBASMITA MISHRA,03-Dec-2025 01:50 PM,Rejected-AOC,lotery,05-Mar-2026 03:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3274400,DUKHISHYAMA MOHANTY,03-Dec-2025 12:29 PM,Rejected-AOC,lotery,05-Mar-2026 03:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3274152,FIROZ KHAN,03-Dec-2025 01:27 PM,Rejected-AOC,lotery,05-Mar-2026 03:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3269124,JANARDAN NAYAK,01-Dec-2025 11:47 AM,Rejected-AOC,lotery,05-Mar-2026 03:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3273735,KALYANI BEHERA,03-Dec-2025 04:31 PM,Rejected-AOC,lotery,05-Mar-2026 03:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3273679,MAHABIR PRASAD DASH,03-Dec-2025 01:18 PM,Rejected-AOC,lotery,05-Mar-2026 03:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3273853,MAKABULU KHAN,03-Dec-2025 02:01 PM,Rejected-AOC,lotery,05-Mar-2026 03:30 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3273425,PRAKASH MOHAPATRA,03-Dec-2025 07:35 AM,Rejected-AOC,lotery,05-Mar-2026 03:30 PM,,,,,,,AOC
