Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Forest Environment and Climate Change Department||RCCF Angul||DFO Dhenkanal,07-DFO/DKL/2025 -26,2025_DFOD_123647_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, EMD, APS, Valid RC, PAN, GST and other documents as per DTCN.",22-Dec-2025 11:00 AM,01-Jan-2026 11:00 AM,22-Dec-2025 11:00 AM,31-Dec-2025 05:00 PM,NA ,NA ,22-Dec-2025 11:00 AM,31-Dec-2025 05:00 PM,"9,969",No,percentage,1.0%,Nil,Nil,"Divisional Forest Officer, Dhenkanal","Divisional Forest Officer, Dhenkanal Division","4,000",Nil,Nil,No,Creation of Water Harvesting Structure with Inlet and Out let at Sadangi Range under Dhenkanal Forest Division,Creation of Water Harvesting Structure with Inlet and Out let at Sadangi Range under Dhenkanal Forest Division,Please refer Tender documents. ,NA ,"9,96,890",Civil Works - Others,NA ,Tender,120.0,75.0,"Divisional Forest Officer, Dhenkanal Division",759001.0,NA ,NA ,NA ,"Divisional Forest Officer, Dhenkanal Division",No ,No,AOC,DFO,Internal,,Sumit Kar,12-Mar-2026 01:00 PM,finsummary_572815.pdf (837.76 KB),Finance,tender opened successfully,Prahallad Mallik,01-Jan-2026 01:21 PM,,BOQ Comparative Chart,12-Mar-2026,"INR 847,456",75.0,Sumit Kar,12-Mar-2026 01:08 PM,1FORESTAOCDOC.pdf (838.00 KB),DUE TO L1 IN LOTTERY,1,3337415,AMIYARANJAN NAYAK,30-Dec-2025 04:35 PM,Rejected-Finance,DUE TO NOT L1 IN LOTTERY,12-Mar-2026 01:00 PM,1.0,3340845.0,PRAVABATI ROUL,INR,"847,456",Forest Environment and Climate Change Department||RCCF Angul||DFO Dhenkanal,2025_DFOD_123647_3,07-DFO/DKL/2025 -26,Creation of Water Harvesting Structure with Inlet and Out let at Sadangi Range under Dhenkanal Forest Division,DFO,Internal,,Sumit Kar,12-Mar-2026 12:53 PM,techsummary_572815.pdf (837.76 KB),AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,3338319,GUNANIDHI SAHOO,29-Dec-2025 07:43 PM,Rejected-Finance,DUE TO NOT L1 IN LOTTERY,12-Mar-2026 01:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3340614,JAJNESWAR NAIK,30-Dec-2025 08:57 PM,Rejected-Finance,DUE TO NOT L1 IN LOTTERY,12-Mar-2026 01:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3341068,JITENDRA KUMAR MOHANTY,31-Dec-2025 11:46 AM,Rejected-Finance,DUE TO NOT L1 IN LOTTERY,12-Mar-2026 01:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3340850,LOKANATH ROUT,30-Dec-2025 09:30 PM,Rejected-Finance,DUE TO NOT L1 IN LOTTERY,12-Mar-2026 01:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3329557,M/S. RAJ RIYANSH CONSTRUCTIONS,26-Dec-2025 06:10 PM,Rejected-Finance,DUE TO NOT L1 IN LOTTERY,12-Mar-2026 01:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3337346,NIROJ KUMAR MALIK,29-Dec-2025 03:28 PM,Rejected-Finance,DUE TO NOT L1 IN LOTTERY,12-Mar-2026 01:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3340845,PRAVABATI ROUL,30-Dec-2025 09:36 PM,Accepted-AOC,DUE TO L1 IN LOTTERY,12-Mar-2026 01:08 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3329463,Rashmi Ranjan Behera,26-Dec-2025 06:57 PM,Rejected-Finance,DUE TO NOT L1 IN LOTTERY,12-Mar-2026 01:00 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3328833,RASHMITA ROUT,26-Dec-2025 09:04 AM,Rejected-Finance,DUE TO NOT L1 IN LOTTERY,12-Mar-2026 01:00 PM,,,,,,,,,,,,,,,,AOC
