Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,2023_RWSS_87839_13,"97/SE/RWSS/2022-23, Dt.31.03.2023",Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Antarla in Madanpur GP under M. Rampur block,1.0,2117298.0,Biswajit Mund,INR,"2,902,852",SE RWSS KLD,Internal,DAO AEE ESTR,Ajya Kumar Mishra,10-Sep-2023 12:01 AM,techsummary_434024.pdf (381.54 KB),Finance,Technical Bid Opening Summary,Ajya Kumar Mishra,02-Sep-2023 01:42 PM,finance_434024.pdf,BOQ Comparative Chart,SE RWSS KLD,Internal,DAO II AEE ESTIAMATOR KALAHANDI,Ajya Kumar Mishra,22-Sep-2023 11:02 AM,finsummary_434024.pdf (128.75 KB),22-Sep-2023,"INR 3,414,718",270.0,Ajya Kumar Mishra,22-Sep-2023 11:04 AM,3255-.pdf (357.00 KB),AOC,1,2117177,ADITYA KUMAR PANDA,20-Apr-2023 02:32 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 11:05 AM,AOC,1.0,ICICI BANK,"34,147",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Papercost,Affidavit,EMD,PAN,GST,Contractor Registration certificate,EPF,Experience certificate etc","6,000",0.0,Nil,Nil,No,Superintending Engineer,Kalahandi RWSS Division Bhawanipatna,Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Antarla in Madanpur GP under M. Rampur block,Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Antarla in Madanpur GP under M. Rampur block,Please refer to DTCN ,NA ,"34,14,718",Civil Works - Water Works,NA ,Tender,180.0,270.0,Antarla,766001.0,NA ,NA ,NA ,Kalahandi RWSS Division Bhawanipatna,No ,No,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,"97/SE/RWSS/2022-23, Dt.31.03.2023",2023_RWSS_87839_13,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,13-Apr-2023 05:00 PM,21-Apr-2023 10:00 AM,13-Apr-2023 05:00 PM,20-Apr-2023 05:30 PM,NA ,NA ,13-Apr-2023 05:00 PM,20-Apr-2023 05:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2116158,AKASH AGRAWAL,20-Apr-2023 02:03 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 11:05 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Other document as per dtcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2117105,AKASH KUMAR AGRAWAL,20-Apr-2023 01:26 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 11:05 AM,AOC,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2114560,ANIL KUMAR KEDIA,18-Apr-2023 12:42 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 11:05 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2116125,ANKIT KUMAR AGRAWAL,20-Apr-2023 01:43 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 11:05 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2117492,Bhakta Charan Bhoi,20-Apr-2023 03:26 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 11:05 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2117298,Biswajit Mund,20-Apr-2023 02:23 AM,Accepted-AOC,Awarded as per OPWD code,22-Sep-2023 11:05 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2116203,GOVIND LAL AGRAWAL,20-Apr-2023 01:27 AM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 11:05 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2117076,Kshira Sagar Kumar,20-Apr-2023 04:04 AM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 11:05 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2116698,NILANCHAL PRADHAN,19-Apr-2023 03:04 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 11:05 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
