Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate","6,000",Nil,Nil,No,"13,000",Yes,fixed,,Nil,Nil,Superintending Engineer,"O/o the SE, Salandi Canal Division, Bhadrak",(25) REPAIR OF CANAL SYPHON OF NARENDRAPUR,Canal improvement,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,90.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o the SE, Salandi Canal Division, Bhadrak",No ,No,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.7 / 2022-23,2023_SCDBH_86289_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-Feb-2023 11:00 AM,06-Mar-2023 11:00 AM,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,17-Feb-2023 11:00 AM ,23-Feb-2023 05:00 PM ,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,1.0,ICICI BANK,AOC,1,2094853,BISHNU CHARAN MOHAPATRA,03-Mar-2023 05:45 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 01:59 PM,14-Jul-2023,"INR 1,097,412",90.0,PRASANTA KUMAR PATEL,14-Jul-2023 08:48 PM,25..pdf (299.00 KB),Contract Awarded,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the SE, Salandi Canal Division, Bhadrak",Dipak Kumar Samal,27-Apr-2023 01:49 PM,techsummary_429137.pdf (332.97 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2023_SCDBH_86289_25,e-Procurement Notice No.7 / 2022-23,(25) REPAIR OF CANAL SYPHON OF NARENDRAPUR,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the SE, Salandi Canal Division, Bhadrak",Dipak Kumar Samal,27-Apr-2023 01:59 PM,finsummary_429137.pdf (332.97 KB),Finance,Uploaded documents of all the bidders have been downloaded successfully.,Raikan Besra,06-Mar-2023 08:09 PM,finance_429137.pdf,BOQ Comparative Chart,1.0,2089267.0,Debasis Bal,INR,"1,097,412",AOC
,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,2095161,Chitaranjan Nayak,04-Mar-2023 01:06 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2089267,Debasis Bal,24-Feb-2023 05:46 PM,Accepted-AOC,Won the lottery,14-Jul-2023 08:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2093623,Jagat Ballav Das,02-Mar-2023 11:21 AM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2094288,MIHIR KUMAR PANDA,02-Mar-2023 03:55 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2092623,Niranjan Barik,02-Mar-2023 12:17 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2095326,PRAKASH CHANDRA SETHI,04-Mar-2023 03:25 PM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2095073,Ratikanta Mallick,04-Mar-2023 11:51 AM,Rejected-Finance,Did not won the lottery.,27-Apr-2023 01:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
