EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"21,510",Yes,fixed,,Nil,Nil,INSTALLATION AND ENERGISATION OF REVIVAL CLIPS INCLUDING POWER SUPPLY WORK FOR AMATHOLA-I AND BHAINRIGUDA-II L.I. PROJECT UNDER JUNAGARH BLOCK IN KALAHANDI DISTRICT,INSTALLATION AND ENERGISATION OF REVIVAL CLIPS INCLUDING POWER SUPPLY WORK FOR AMATHOLA-I AND BHAINRIGUDA-II L.I. PROJECT UNDER JUNAGARH BLOCK IN KALAHANDI DISTRICT,Please refer to Tender Documents ,NA ,"21,51,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,60.0,JUNAGARH,766014.0,NA ,NA ,NA ,"O/O The Executive Engineer L.I.Division,Bhawanipat",No ,No,1.0,ICICI BANK,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,OLIC-BPT-02/2025-26 Dt.01.05.2025,2025_OLIC_113047_32,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer, L.I.Division, Bhawanipatna",At - Infront of GOVT. ITI Po - Bhawanipatna,1.0,Fee/PreQual/Technical/Finance,.pdf,"TenderPaperCost,EMD,GSTChallan,GSTIN,PAN,Affidavit,CivilandHTLicenseJointVenture, Others as per DTCN","7,080",0.0,Nil,Nil,No,07-May-2025 11:00 AM,17-May-2025 11:00 AM,07-May-2025 11:00 AM,16-May-2025 05:00 PM,07-May-2025 11:00 AM ,14-May-2025 05:00 PM ,07-May-2025 11:00 AM,16-May-2025 05:00 PM,AOC,Bipra Soren,Internal,Bipra Soren Santosh Kumar Kisan Dyllod Nag Jagannath Das,BIPRA SOREN,20-Aug-2025 04:12 PM,finsummary_538514.pdf (2850.44 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bhawanipatna,2025_OLIC_113047_32,OLIC-BPT-02/2025-26 Dt.01.05.2025,INSTALLATION AND ENERGISATION OF REVIVAL CLIPS INCLUDING POWER SUPPLY WORK FOR AMATHOLA-I AND BHAINRIGUDA-II L.I. PROJECT UNDER JUNAGARH BLOCK IN KALAHANDI DISTRICT,1.0,2917142.0,SEELA RAJEYA REDDY,INR,"1,828,565",Finance,Bid Opening summary uploaded as per bidding. The L1 bidder will be accepted after Technical evaluation.,BIPRA SOREN,30-Jun-2025 06:06 PM,finance_538514.pdf,BOQ Comparative Chart,1,2916400,AGRAWALLA POWER INFRASTRUCTURE,16-May-2025 10:32 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,25-Aug-2025,"INR 1,828,565",60.0,BIPRA SOREN,15-Oct-2025 03:23 PM,32AmatholaIBhainrigudaII.pdf (5019.00 KB),AWARD OF CONTRACT,Bipra Soren,Internal,Bipra Soren Santosh Kumar Kisan Krushna Ch. Sahu Dyllod Nag Jagannath Das,BIPRA SOREN,18-Jul-2025 01:42 PM,techsummary_538514.pdf (3067.81 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2918744,BIKASH CHANDRA PANDA,15-May-2025 10:08 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2919811,Chanchal Mahapatra,16-May-2025 03:02 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2919772,DHARMENDRA KUMAR JOSHI,16-May-2025 11:35 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2918340,GITANJALI PADHAN,16-May-2025 12:07 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2910096,"M/S SHIVANI INFRASTRUCTURE AND SUPPLIERS, PROP. YASH AGRAWAL",13-May-2025 09:18 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2911266,MS Shree Shyam and Co,12-May-2025 11:54 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2920160,PAYAL AGRAWAL,16-May-2025 04:29 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2916965,PRADEEP KUMAR AGRAWALLA,16-May-2025 02:43 PM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2918478,RATHA MEHER,16-May-2025 12:26 AM,Rejected-Finance,L3 not Selected,20-Aug-2025 04:12 PM,,,,,,,,,,,,,,AOC
