Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"4,000",0.0,Nil,Nil,No,Municipal Bodies||Dharmagarh NAC,DHM/03/2025-26,2025_ORULB_122074_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,04-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,04-Dec-2025 11:00 AM,17-Dec-2025 05:00 PM,NA ,NA ,04-Dec-2025 11:00 AM,17-Dec-2025 05:00 PM,"EXECUTIVE OFFICER, NAC DHARMAGARH",Dharmagarh NAC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN, GST, Tender paper Cost, EMD and other document as per DTCN",1.0,ICICI BANK,"9,288",Yes,fixed,,Nil,Nil,"REPAIRING OF POTHOLES WITH CASTING OF COVER SLAB OVER OPEN DRAIN IN WARD NO-9,10,11,12","REPAIRING OF POTHOLES WITH CASTING OF COVER SLAB OVER OPEN DRAIN IN WARD NO-9,10,11,12",Please refer Tender documents. ,NA ,"9,28,814",Civil Works - Roads,NA ,Tender,90.0,NA ,"NAC, DHARMAGARH",766015.0,NA ,NA ,NA ,"NAC,DHARMAGARH",No ,No,AOC,1,3300725,AISCHARYA GOYAL,17-Dec-2025 10:29 AM,Accepted-AOC,by the tender committee,10-Apr-2026 10:53 AM,10-Apr-2026,"INR 789,585.1",60.0,Biswambhar Mishra,10-Apr-2026 10:53 AM,PROCEEDING.pdf (511.00 KB),Ashok Kumar Mohanty,Internal,"Biswambhar Mishra,Rajib Lochan Podh,Sarat Kumar Sahoo",Biswambhar Mishra,10-Apr-2026 10:27 AM,techsummary_567435.pdf (511.29 KB),Municipal Bodies||Dharmagarh NAC,2025_ORULB_122074_1,DHM/03/2025-26,"REPAIRING OF POTHOLES WITH CASTING OF COVER SLAB OVER OPEN DRAIN IN WARD NO-9,10,11,12",Ashok Kumar Mohanty,Internal,"Biswambhar Mishra, Rajib Lochan Podh,Sarat Kumar Sahoo",Biswambhar Mishra,10-Apr-2026 10:43 AM,finsummary_567435.pdf (511.29 KB),Finance,Summary Document,Sarat Kumar Sahoo,10-Apr-2026 09:58 AM,finance_567435.pdf,BOQ Comparative Chart,1.0,3300725.0,AISCHARYA GOYAL,INR,"789,585.1",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3295198,CHANCHAL AGRAWAL,11-Dec-2025 02:09 PM,Rejected-Finance,by the tender committee,10-Apr-2026 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3310579,DHABALESWAR NAIK,17-Dec-2025 12:44 PM,Rejected-Finance,by the tender committee,10-Apr-2026 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3309054,DIPTIMAYEE JENA,17-Dec-2025 10:55 AM,Rejected-Finance,by the tender committee,10-Apr-2026 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3306522,GAJINDRA PRADHAN,16-Dec-2025 05:09 PM,Rejected-Finance,by the tender committee,10-Apr-2026 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3308941,MAHENDRA NAIK,16-Dec-2025 05:38 PM,Rejected-Finance,by the tender committee,10-Apr-2026 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3311026,M/S ASHISH MOHANTY,17-Dec-2025 01:57 PM,Rejected-Finance,by the tender committee,10-Apr-2026 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3307395,M/S DEBADATTA PATTNAIK,16-Dec-2025 01:38 PM,Rejected-Finance,by the tender committee,10-Apr-2026 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3310626,PRATAP KISHOR NAIK,17-Dec-2025 01:00 PM,Rejected-Finance,by the tender committee,10-Apr-2026 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3309593,PRIYANKA PUROHIT,16-Dec-2025 08:54 PM,Rejected-Finance,by the tender committee,10-Apr-2026 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
